Rating,Number Of Ratings,Address
4.6/5,1074 ratings,"939 Broxton Avenue, Los Angeles, CA 90024, USA"
Margherita Fresca,$12.50,BJ's Flatbread - Appetizers,Fresh mozzarella | sweet tomato sauce | fresh basil | parmesan cheese (8 slices–cal. 100/slice).
California Club,$12.95,BJ's Flatbread - Appetizers,Grilled chicken | applewood smoked bacon | seasoned tomatoes | BJ’s signature five cheese blend | avocado | a drizzle of roasted garlic aioli (8 slices–cal. 110/slice).
Bone-in Chicken Wings,$13.75,BJ's Premium Wings,"Crispy, bone-in wings | tossed in your choice of our signature sauces or dry rubs (cal. 750)."
Boneless Wings,$13.25,BJ's Premium Wings,A full pound (pre-cooked weight) of all-white-meat boneless wings | tossed in your choice of our signature sauces or dry rubs (cal. 870).
BJ's Original Wings,$13.75,BJ's Premium Wings,"Crispy, bone-in wings | drizzled with hot and spicy buffalo + ranch | celery sticks | extra sauce for dipping (cal. 820)."
Creamy Couscous Mac & Cheese,$5.50,BJ's Small Plates & Snacks,Israeli couscous | jack + cheddar cheese sauce | chopped bacon | tomatoes | green onions | parmesan bread crumbs | basil (cal. 590).
Garlic Parmesan Knots,$5.50,BJ's Small Plates & Snacks,Garlic bread knots | parmesan cheese | parsley | San Marzano marinara (cal. 470).
Roasted Golden Beets,$5.50,BJ's Small Plates & Snacks,Roasted golden beets | goat cheese | balsamic glaze | fresh basil (cal. 160).
Regular Cut Fries,$3.50,BJ's Small Plates & Snacks, 
Sweet Potato Fries,$5.50,BJ's Small Plates & Snacks,Crispy sweet potato fries (cal. 330).
Twisted BLT,$6.75,Starter Salads,Baby spinach | diced tomatoes | bleu cheese crumbles | honey sriracha vinaigrette | applewood smoked bacon | chopped hard-boiled egg (cal. 220).
Golden Beet and Arugula,$6.75,Starter Salads,Diced golden beets | arugula | red onions | strawberry vinaigrette | goat cheese | toasted almonds | dried cranberries (cal. 120).
Baby Back Pork Ribs,$20.95,Ribs and Steaks,Slow-roasted overnight baby back ribs | big poppa smokers’ sweet money championship rub | BJ’s peppered BBQ sauce.
BJ's Classic Rib‑Eye,$25.95,Ribs and Steaks,"Juicy, well-marbled, fresh 14 oz. M (pre-cooked weight) rib-eye (cal. 1080)."
House Top Sirloin,$18.95,Ribs and Steaks,"Thick, tender house special sirloin (cal. 500)."
