year,Assets,Current assets,Cash,Cash and cash equivalents,Total cash,Receivables,Deferred income taxes,Prepaid expenses,Other current assets,Total current assets,Non-current assets,"Property, plant and equipment","Gross property, plant and equipment",Accumulated Depreciation,"Net property, plant and equipment",Goodwill,Intangible assets,Other long-term assets,Total non-current assets,Total assets,Liabilities and stockholders' equity,Liabilities,Current liabilities,Short-term debt,Capital leases,Accounts payable,Accrued liabilities,Other current liabilities,Total current liabilities,Non-current liabilities,Long-term debt,Capital leases,Deferred taxes liabilities,Other long-term liabilities,Total non-current liabilities,Total liabilities,Stockholders' equity,Common stock,Additional paid-in capital,Retained earnings,Treasury stock,Accumulated other comprehensive income,Total stockholders' equity,Total liabilities and stockholders' equity,adj_close
2013,0.9377160150630206,0.01,0.04921409479904826,0.04921409479904826,0.04921409479904826,0.3450181919955231,0.7729423200819644,0.12457951180242088,0.01,0.01,1.0,0.9999999999999996,1.0,1.0000000000000009,0.9999999999999996,1.0,1.0,0.9143659681413312,1.0,0.9377160150630206,0.9377160150630206,0.7075601715564668,0.01,0.36405707625457545,0.01,0.01,1.0,0.01,0.01,0.8006045142296365,0.01,1.0,1.0,1.0,0.8006045142296365,0.7075601715564668,1.0,1.0,0.01,0.8812464116081214,1.0,0.01,1.0,0.9377160150630206,0.715822004739775
2014,1.0,1.0,0.01,0.01,0.01,1.0,1.0,0.38592909922083884,1.0,1.0,0.9473354546137851,0.5574086467675006,0.16502301117685647,0.8472756250622577,0.5574086467675006,1.0,0.9445212287594074,1.0,0.9473354546137851,1.0,1.0,1.0,1.0,0.01,1.0,0.11490185605554792,0.44052663841582046,0.9999999999999996,1.0,1.0,1.0,0.6651753426961569,0.8895433159129013,0.6932123344754153,1.0,1.0,0.9218276727353819,0.6666666666666714,0.308701026495406,0.8213946448144475,0.8498415933887955,1.0,0.9218276727353819,1.0,1.0
2015,0.8334097565728764,0.5058547145211678,1.0,1.0,1.0,0.01,0.01,0.06842816480262215,0.5719866553732865,0.5058547145211678,0.8414342862392372,0.26763485477178417,0.01,0.5159876481721293,0.26763485477178417,1.0,0.9000899323141005,0.4450357886437275,0.8414342862392372,0.8334097565728764,0.8334097565728764,0.6162838987566932,0.49193772588268025,0.01,0.795777351247601,0.9993991187074376,0.03960448815330081,0.7549340137953036,0.49193772588268025,0.6475446516192349,0.7872474943772474,0.4386679000925069,0.6454835521949253,0.12352995647745146,0.6475446516192349,0.6162838987566932,0.8961714915442855,0.6666666666666714,0.6852259902187345,0.9212928649720757,0.3987106254888486,0.6263736263736264,0.8961714915442855,0.8334097565728764,0.8060081500977918
2016,0.757081568434145,0.4251555927283457,0.8957848017459109,0.8957848017459109,0.8957848017459109,0.15274279317100614,0.01,0.01,0.5354445039843736,0.4251555927283457,0.7764234432112067,0.07321643688930513,0.03862590401051946,0.20320749078593536,0.07321643688930513,1.0,0.8550385762294694,0.16583508888642484,0.7764234432112067,0.757081568434145,0.757081568434145,0.4736288896974239,0.07085765916041176,0.01,0.34433781190019186,0.6978902390172252,0.05327683164094771,0.6166221442526214,0.07085765916041176,0.5427399411187439,0.8206005202989122,0.21981330417963152,0.5689303395755184,0.01,0.5427399411187439,0.4736288896974239,0.8648839409626372,0.3333333333333286,1.0,0.9999999999999999,0.01,0.6263736263736264,0.8648839409626372,0.757081568434145,0.7525972957576332
2017,0.01,0.7875821013013207,0.31892302788063054,0.31892302788063054,0.31892302788063054,0.7674223341729647,0.01,0.9999999999999998,0.6983630360754352,0.7875821013013207,0.01,0.01,0.1941157133464806,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39717125382263063,0.9999999999999999,0.7470249520153551,1.0,0.01,0.47408396794386176,0.39717125382263063,0.01,0.6874993522174897,0.01,0.01,0.31197333086396917,0.01,0.01,0.01,0.01,0.11855753211157172,0.01,0.0008690637023693881,0.6483516483516485,0.01,0.01,0.4602272659247185
