year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative",Other operating expenses,Total operating expenses,Operating income,Interest Expense,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9757697376302864,0.6238194634546947,0.7097334104766566,0.5701659301259068,0.5701659301259068,0.5701659301259068,0.01,0.5515873015873015,0.5421686746987953,0.01,0.9910313901345287,1.0,0.07481891590257561,0.9418535759627593
2014,0.35430678449854547,0.3443957873403063,0.39802133403568885,0.27049013970165436,0.38795851660546354,0.1857330033483766,0.27049013970165436,0.36716752635119976,0.042720561539392465,0.7594345273751049,0.6342560908842048,0.722551070363612,0.579115595208316,0.579115595208316,0.579115595208316,0.01,0.5595238095238095,0.5542168674698795,0.01,1.0,0.9583333333333339,0.2354859181127864,1.0
2015,0.6608658113406767,0.5908942854040751,1.0,0.6503568650001692,0.7779750615390828,0.5582763138739262,0.6503568650001692,1.0,0.13518092702408324,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.01,0.9999999999999999,1.0,0.01,0.8542600896860986,0.8055555555555554,1.0,0.7421074904782057
2016,0.7676871552620148,0.7763283005583319,0.7117271350497134,0.7200047356492916,0.5680158185706796,0.8296695297714369,0.7200047356492916,0.029827315541600896,0.5502844003388601,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3236173393124062,0.306878306878307,0.01,0.6517139229792637
2017,1.0,1.0,0.9834233225785214,1.0,1.0,1.0,1.0,0.027584660237721437,1.0000000000000002,0.8385647538037619,0.41459074733096085,0.26427522364146155,0.5084632702409739,0.5084632702409739,0.5084632702409739,0.01,0.5753968253968254,0.5783132530120483,0.01,0.01,0.01,0.7396109153773769,0.6517139229792637
2018,1.0,1.0,0.9834233225785214,1.0,1.0,1.0,1.0,0.027584660237721437,1.0000000000000002,0.8385647538037619,0.41459074733096085,0.26427522364146155,0.5084632702409739,0.5084632702409739,0.5084632702409739,0.01,0.5753968253968254,0.5783132530120483,0.01,0.01,0.01,0.7396109153773769,0.7592044011849344
