year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative",Other operating expenses,Total operating expenses,Operating income,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2012,0.01,0.01,0.35813588177608036,0.01,0.01,0.01,0.01,0.5778947686078061,0.01524188204108684,0.5730132069897473,0.5885284991955873,0.5634687096831204,0.5634687096831204,0.5634687096831204,0.01,0.5537190082644626,0.5568736915561758,0.01,1.0,1.0,0.5035749247568799,0.3509683910455269
2013,0.27308885485246037,0.219711099835874,0.5273912728359215,0.18328601672178801,0.19558411195853886,0.16508812038078635,0.18328601672178801,0.6833168272013739,0.01,0.6780372246720137,0.686738680763043,0.6726843751656858,0.6726843751656858,0.6726843751656858,0.01,0.6749311294765838,0.6769016050244243,0.01,0.8038973635481881,0.8229276895943549,0.6280858094140154,0.7455688773371341
2014,0.7779919649672118,0.5953021565082339,0.9163832899701659,0.5974624637808412,0.7699438408906984,0.3422360924628951,0.5974624637808412,0.9275892908581634,0.3870112657389,0.924002363471239,0.9090151689266835,0.9332219924712369,0.9332219924712369,0.9332219924712369,0.01,0.9345730027548207,0.9323098394975576,0.01,0.8324662728154486,0.9044091710758373,0.8980634538625738,1.0
2015,1.0000000000000002,0.7956498228914315,0.9999999999999999,0.6157159442346904,0.587079317589164,0.6580905033203903,0.6157159442346904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.9999999999999999,0.9999999999999999,0.01,0.8515122123269556,0.898059964726631,1.0,0.6568122746709146
2016,0.662802634351771,0.8428354998463552,0.01,0.8740012292562997,0.8017918597902414,0.9808518101873693,0.8740012292562997,0.01,0.5347912524850895,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2071245921876379,0.2899470899470895,0.01,0.4848830384841117
2017,0.9433044877426486,1.0000000000000002,0.3440131465093267,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,0.2835963798074681,0.5188866799204772,0.2826810079767154,0.2915242185704436,0.2772409557640988,0.2772409557640988,0.2772409557640988,0.01,0.30234159779614317,0.30635031402651786,0.01,0.01,0.01,0.30904796766439185,0.3679550599480171
