year,Assets,Current assets,Cash,Cash and cash equivalents,Short-term investments,Total cash,Receivables,Inventories,Deferred income taxes,Prepaid expenses,Total current assets,Non-current assets,"Property, plant and equipment","Gross property, plant and equipment",Accumulated Depreciation,"Net property, plant and equipment",Equity and other investments,Goodwill,Other long-term assets,Total non-current assets,Total assets,Liabilities and stockholders' equity,Liabilities,Current liabilities,Accounts payable,Taxes payable,Accrued liabilities,Deferred revenues,Other current liabilities,Total current liabilities,Non-current liabilities,Long-term debt,Deferred taxes liabilities,Other long-term liabilities,Total non-current liabilities,Total liabilities,Stockholders' equity,Additional paid-in capital,Retained earnings,Total stockholders' equity,Total liabilities and stockholders' equity,adj_close
2012,566876000.0,82720000.0,33390000.0,15074000.0,18316000.0,33390000.0,18929000.0,6061000.0,15721000.0,8619000.0,82720000.0,484156000.0,457499000.0,646142000.0,-188643000.0,457499000.0,7534000.0,4673000.0,14450000.0,484156000.0,566876000.0,566876000.0,195042000.0,82484000.0,25665000.0,11261000.0,34966000.0,7224000.0,3368000.0,82484000.0,112558000.0,0.01,40847000.0,71711000.0,112558000.0,195042000.0,371834000.0,219752000.0,152082000.0,371834000.0,566876000.0,32.7844139252635
2013,610879000.0,70836000.0,30983000.0,22995000.0,7988000.0,30983000.0,12776000.0,7433000.0,10616000.0,9028000.0,70836000.0,540043000.0,513597000.0,752495000.0,-238898000.0,513597000.0,1803000.0,4673000.0,19970000.0,540043000.0,610879000.0,610879000.0,209443000.0,92139000.0,31485000.0,9336000.0,39748000.0,7798000.0,3772000.0,92139000.0,117304000.0,0.01,30579000.0,86725000.0,117304000.0,209443000.0,401436000.0,228332000.0,173104000.0,401436000.0,610879000.0,30.9508783136378
2014,647083000.0,81318000.0,30683000.0,30683000.0,0.01,30683000.0,18796000.0,8010000.0,14595000.0,9234000.0,81318000.0,565765000.0,541349000.0,832966000.0,-291617000.0,541349000.0,0.01,4673000.0,19743000.0,565765000.0,647083000.0,647083000.0,298394000.0,107025000.0,34395000.0,8795000.0,50299000.0,9587000.0,3949000.0,107025000.0,191369000.0,58000000.0,38974000.0,94395000.0,191369000.0,298394000.0,348689000.0,148188000.0,200501000.0,348689000.0,647083000.0,50.0335994889812
2015,681665000.0,93003000.0,34604000.0,34604000.0,0.01,34604000.0,25364000.0,8893000.0,16971000.0,7171000.0,93003000.0,588662000.0,561832000.0,907597000.0,-345765000.0,561832000.0,0.01,4673000.0,22157000.0,588662000.0,681665000.0,681665000.0,365182000.0,116894000.0,33033000.0,10324000.0,57906000.0,11363000.0,4268000.0,116894000.0,248288000.0,100500000.0,46669000.0,101119000.0,248288000.0,365182000.0,316483000.0,70657000.0,245826000.0,316483000.0,681665000.0,43.3172788246567
2016,708879000.0,77073000.0,22761000.0,22761000.0,0.01,22761000.0,14698000.0,9907000.0,18383000.0,11324000.0,77073000.0,631806000.0,601324000.0,1006026000.0,-404702000.0,601324000.0,0.01,4673000.0,25809000.0,631806000.0,708879000.0,708879000.0,433982000.0,125698000.0,31145000.0,12133000.0,64884000.0,12968000.0,4568000.0,125698000.0,308284000.0,148000000.0,55154000.0,105130000.0,308284000.0,433982000.0,274897000.0,66200000.0,208697000.0,274897000.0,708879000.0,39.1619290961354
