year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative","Restructuring, merger and acquisition",Other operating expenses,Total operating expenses,Operating income,Interest Expense,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2013,2846098000.0,2306004000.0,540094000.0,269696000.0,134538000.0,3637000.0,131521000.0,269696000.0,270398000.0,29118000.0,-10965000.0,230315000.0,66956000.0,163359000.0,163359000.0,163359000.0,0.01,2.28,2.2,0.01,71788000.0,74158000.0,390914000.0,41.1493630210805
2014,2905452000.0,2345888000.0,559564000.0,270592000.0,132094000.0,3413000.0,135085000.0,270592000.0,288972000.0,28091000.0,-44593000.0,216288000.0,62249000.0,154039000.0,154039000.0,154039000.0,0.01,2.33,2.26,0.01,66251000.0,68152000.0,380460000.0,53.1591437404863
2015,3002278000.0,2407603000.0,594675000.0,279397000.0,133467000.0,2836000.0,143094000.0,279397000.0,315278000.0,29006000.0,-1995000.0,284277000.0,87583000.0,196694000.0,196694000.0,196694000.0,0.01,3.12,3.05,0.01,63072000.0,64404000.0,458525000.0,44.4381925139119
2016,3257489000.0,2638872000.0,618617000.0,290667000.0,127593000.0,4480000.0,158594000.0,290667000.0,327950000.0,32574000.0,-8989000.0,286387000.0,85642000.0,200745000.0,200745000.0,200745000.0,0.01,3.47,3.42,0.01,57895000.0,58684000.0,475329000.0,47.1218024871914
2017,3150837000.0,2582776000.0,568061000.0,302529000.0,132819000.0,6823000.0,162887000.0,302529000.0,265532000.0,49547000.0,-7477000.0,208508000.0,57685000.0,150823000.0,150823000.0,150823000.0,0.01,2.98,2.94,0.01,50638000.0,51250000.0,416452000.0,38.4354166666667
2018,3127092000.0,2566650000.0,560442000.0,305460000.0,132182000.0,5840000.0,167438000.0,305460000.0,254982000.0,55302000.0,-16115000.0,183565000.0,55369000.0,128196000.0,128196000.0,128196000.0,0.01,2.61,2.59,0.01,48149500.0,48639000.0,396214000.0,39.83
