year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,0.9999999999999999,0.010752688172043001,0.9999999999999998,0.08387096774193559,0.7886710239651417,0.755921316740265,0.01,0.01,0.01,0.47810979847116053,0.8333333333333334,0.55,0.8480000000000001,0.9033297529538131,0.78997899789979,0.01,0.9903156384505019,0.0096843615494977,0.01,0.01,0.01,0.08365508365508334,0.8333333333333335,0.7660655058043118,0.37427210164107994,0.7877615362568071,0.9473684210526316,0.7814885496183206,1.0000000000000002,0.9414514249992896,0.9219416202033455,0.7408184679958028,0.4266757400476353,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.20827888546979723,0.12884116993706038,0.01,0.01,0.13657797238127317,0.01,0.01,0.01,0.49911727616645646,0.47738693467336685,0.11949685534591192,0.3866220735785953,1.0,0.07551487414187641,0.01,0.8444444444444444,0.26835443037974693,0.023313905079100694,1.0,0.01,1.0000000000000004,0.01,0.01,1.0000000000000002,0.01,0.8620689655172413,0.01,0.01,0.13301141352063173,1.0,0.5053513261982321,0.4946486738017683,0.01,0.8888888888888884,0.1333333333333333,1.0000000000000002,1.0,0.014341590612777066,0.7025723472668809,0.0349840255591054,0.693861693861694,0.9556048834628191,1.0,0.01,0.9473684210526316,0.0
2010,0.8814180929095353,0.01,0.6974789915966386,0.01,0.7145969498910676,0.6639903653151344,0.01,0.01,0.01,0.4975677553856845,0.9999999999999999,0.35,1.0,1.0,0.85998599859986,0.01,1.0000000000000002,0.01,0.05793602896801442,0.01,0.05504587155963314,0.01,0.8106295149638804,0.7296849087893864,0.01,0.7462023502436228,1.0000000000000002,0.7194656488549618,0.6717452876257448,0.7493535646293297,0.7723843883240408,0.7124868835257083,0.6529431779516843,0.7644389944819129,0.9850287120590648,0.8930571108622621,0.2084674822923374,0.7038341158059467,0.9761083089992035,0.766829865361077,0.20827888546979723,0.26471677156608664,0.10114192495921696,0.018714401952807158,0.13657797238127317,0.23207603207603208,0.4074152096060669,0.43189655172413793,0.3536948297604035,0.25139028475711894,0.32704402515723263,0.5277591973244147,0.01,0.288329519450801,0.015384615384615441,0.8222222222222222,0.37468354430379747,0.1415487094088258,0.7827455919395465,0.26652601969057654,0.5028248587570623,0.01,0.06132075471698112,0.3875,0.01,1.0,0.11292200232828875,0.11201866977829633,0.32221246707638285,0.6638418079096045,0.47370870172173074,0.526291298278269,0.01,0.9259259259259256,0.2666666666666666,0.6717452876257448,0.8203045685279189,0.01,0.747588424437299,0.01,0.7556332556332558,0.9999999999999999,0.9407105136821893,0.1355932203389829,1.0000000000000002,0.28603753836758683
2011,0.5611246943765281,0.19354838709677402,0.5210084033613445,0.16129032258064524,0.8845315904139434,0.8900040144520273,0.01,0.01,0.5,0.5715774843641418,0.5476190476190476,0.01,0.472,0.8968850698174006,0.18991899189918993,0.01,0.8073888091822095,0.19261119081779055,0.21424260712130339,0.01,0.27522935779816526,0.16344916344916327,0.896388028895769,0.8423507462686567,0.7511911064055056,0.8727429062768701,0.6842105263157896,0.8912213740458015,0.23049125891200312,1.0,0.9262053132174484,0.8027282266526757,0.18917999319496426,0.11722869405272837,0.8699753896636588,0.7122060470324749,0.41677398583386993,0.1667970787689097,0.9131935226971064,0.6640146878824968,0.20827888546979723,0.26471677156608664,1.0,0.5419039869812856,0.13657797238127317,0.23207603207603208,0.6151253423214661,0.7418103448275862,0.12312736443883981,0.07266331658291458,1.0,0.31638795986622065,0.9473853580048271,0.01,0.19999999999999996,1.0000000000000002,0.01,0.01,0.5755667506297231,0.5801687763713077,0.6525423728813564,0.01,0.042452830188679236,0.3375,0.01,0.1877394636015326,0.43538998835855647,0.17969661610268384,0.18525021949078146,0.6378531073446325,0.33364355514192656,0.6663564448580735,0.01,0.01,0.01,0.23049125891200312,0.23604060913705585,0.139341590612777,0.9999999999999999,0.06118210862619805,1.0,0.6592674805771365,0.7030724915986559,0.17796610169491522,0.6842105263157896,0.20429624103416338
2012,0.2921760391198044,0.4946236559139787,0.3697478991596639,0.38064516129032255,1.0,1.0,0.01,0.01,1.0,0.9774148714384989,0.01,0.44999999999999996,0.01,0.20300751879699247,0.26992699269926995,0.01,0.5050215208034432,0.4949784791965566,0.5027157513578755,0.01,0.5504587155963303,0.3790218790218789,1.0000000000000002,0.9810323383084577,0.912916887241927,0.9885353969618802,0.3684210526315792,1.0,0.07627698017384511,0.9509135339414088,1.0,0.8982161594963274,0.08880571623001021,0.0751686082158185,0.5892124692370796,0.48152295632698766,0.2907276239536381,0.01,0.6625962304220865,0.5263157894736842,0.5024659613033764,1.0,0.10114192495921696,1.0,0.3342595711238352,1.0,0.4074152096060669,1.0,0.01,0.01,0.7106918238993707,0.01,0.9314561544650041,0.08009153318077811,0.3730769230769231,0.01,0.20253164556962022,0.1332223147377184,0.20088161209068012,0.869198312236287,0.7203389830508473,0.01,0.11792452830188677,0.375,0.01,0.2298850574712643,0.5436554132712457,0.32322053675612605,0.01,0.4197740112994348,0.01535597952536083,0.9846440204746393,0.01,0.11111111111111072,0.1333333333333333,0.07627698017384511,0.07529610829103214,0.4157431551499348,0.01,0.17204472843450475,0.01,0.30521642619311873,0.01,0.3389830508474574,0.3684210526315792,0.48691364143800886
2013,0.03789731051344736,0.9103942652329748,0.3613445378151261,0.8838709677419356,0.8779956427015251,0.8823765556001606,0.772609819121447,0.516668094952438,1.0,0.984016678248784,0.5952380952380952,0.95,0.6799999999999999,0.44575725026852847,0.46994699469947,0.01,0.0868005738880917,0.9131994261119081,0.704888352444176,0.01,1.0000000000000002,0.8822393822393821,0.8604747162022706,0.9219527363184079,0.9229751191106406,0.9402407566638005,0.01,0.9079198473282443,0.07442133020802813,0.9002216349842298,0.8816005247622172,0.8352570828961174,0.01,0.01,0.01,0.2502799552071669,0.533322601416613,0.08711528429838286,0.11627289620387576,0.3353733170134639,0.024533153479745384,0.26471677156608664,0.10114192495921696,0.5834011391375101,0.012518244077691698,0.23207603207603208,0.4074152096060669,0.7801724137931034,1.0,1.0,0.13836477987421392,1.0,0.9539823008849558,0.4782608695652173,0.5019230769230769,0.01,0.01,0.2664446294754371,0.15176322418136023,0.8537271448663852,0.5536723163841808,0.01,0.3066037735849056,0.2375,0.01,0.5632183908045977,0.4959254947613504,0.40840140023337224,0.012291483757681743,0.3440677966101693,0.01,1.0,0.01,0.37037037037036935,0.666666666666667,0.07442133020802813,0.0730964467005076,0.8391460234680574,0.01,0.5538338658146964,0.01,0.05660377358490565,0.01,0.3728813559322033,0.01,0.715822004739775
2014,0.05623471882640585,0.8960573476702511,0.38655462184873945,0.864516129032258,0.7995642701525055,0.8101164191087916,0.8062015503875969,0.6426428999914302,1.0,1.0,0.5238095238095238,1.0,0.616,0.6745435016111708,1.0000000000000002,0.01,0.10365853658536595,0.8963414634146338,0.6958358479179236,0.01,0.926605504587156,0.8667953667953667,0.7640866873065016,0.8225538971807629,0.7766013763896241,0.8586987675551734,0.01,0.8382633587786259,0.08555523000292997,0.8851476145824454,0.8166612003935717,0.7754459601259182,0.9244641034365431,0.07860208461066828,0.05332239540607053,0.33426651735722285,0.5668061815840308,0.1262389149713093,0.01,0.4957160342717258,0.01,0.01,0.3466557911908646,0.08868999186330351,0.01,0.10579150579150581,0.9999999999999999,0.503448275862069,0.2485245901639344,0.1860636515912898,0.018867924528301883,0.8862876254180603,0.9766693483507644,0.4416475972540046,0.5557692307692306,0.01,0.7493670886075947,0.5228975853455454,0.05352644836272036,0.7426160337552745,0.5677966101694918,0.01,0.3254716981132075,0.01,0.01,0.2183908045977011,0.7310826542491269,0.5215869311551924,0.14618086040386302,0.21355932203389827,0.07957189390414143,0.9204281060958586,0.01,0.9259259259259256,0.4666666666666668,0.08555523000292997,0.0871404399323181,0.9260104302477186,0.01,0.6437699680511182,0.01,0.02441731409544945,0.01,0.6101694915254237,0.01,1.0
2015,0.09046454767726153,0.9498207885304661,0.546218487394958,0.9612903225806455,0.9498910675381265,0.9554395824969891,0.9121447028423773,1.0,1.0,0.9343293954134817,0.6587301587301587,0.95,0.744,0.45649838882921584,0.73997399739974,0.01,0.04842180774748939,0.9515781922525104,0.7229933614966806,0.01,0.5688073394495414,0.9620334620334616,0.9253869969040249,1.0,0.9999999999999999,0.9998566924620235,0.10526315789473695,0.974236641221374,0.08516456685223167,0.9218168385758532,0.8963594621187276,1.0,1.0,0.18565297363580624,0.08962264150943394,0.37849944008958564,0.693818415969092,0.23813249869587894,0.16087071940536235,0.6884944920440635,1.0,0.186474145378255,0.10114192495921696,0.7575264442636289,0.6713259234310094,0.19685179685179688,0.4074152096060669,0.8383620689655172,0.3574779319041614,0.2572194304857622,0.05660377358490565,0.9986622073578595,0.9467417538213999,0.8901601830663615,0.4980769230769231,0.01,0.10379746835443027,0.4487926727726893,0.026448362720403074,0.926160337552743,0.20338983050847448,0.01,0.632075471698113,0.01,0.01,0.01,0.7229336437718277,0.5227537922987167,0.2238805970149249,0.1096045197740112,0.07677989762680326,0.9232201023731968,0.01,0.6666666666666661,0.8999999999999999,0.08516456685223167,0.08883248730964466,0.8450130378096481,0.01,0.7918530351437698,0.01,0.05438401775804658,0.01,0.9576271186440677,0.10526315789473695,0.8060081500977918
2016,0.03545232273838628,1.0,0.4453781512605042,0.9999999999999998,0.934640522875817,0.9478121236451225,0.9612403100775193,0.5723712400377067,0.5,0.9145239749826268,0.5158730158730159,1.0,0.608,0.719656283566058,0.7999799979998,0.01,0.01,1.0,0.7622208811104405,0.01,0.669724770642202,1.0,0.9125902992776059,0.9932628524046435,0.9526204340921122,1.0,0.052631578947368585,0.9675572519083969,0.08789920890711984,0.92076549313784,0.8901279107904232,0.981112277019937,0.6168764886015652,0.27075413856529734,0.14212469237079575,0.33426651735722285,0.460560206052801,0.2173969744392279,0.1760021237058667,0.6444308445532435,0.18037347721620367,0.39787732938417875,0.5440456769983687,0.6851098454027663,0.1268945772987538,0.3088803088803089,0.5441331367179271,0.7836206896551725,0.22042875157629255,0.1661641541038526,0.01,0.9163879598662206,0.9454545454545455,0.8810068649885583,0.5442307692307693,0.01,0.07848101265822782,0.45628642797668595,0.01,0.9999999999999996,0.01,0.01,0.5660377358490565,0.01,0.01,0.01532567049808431,0.7077997671711294,0.4959159859976663,0.28621597892888495,0.06327683615819213,0.09399720800372258,0.9060027919962773,0.01,0.7777777777777777,1.0,0.08789920890711984,0.09340101522842639,0.881844850065189,0.01,1.0,0.01,0.039955604883462836,0.01,0.9915254237288134,0.052631578947368585,0.7525972957576332
2017,0.01,0.8781362007168458,0.01,0.5225806451612902,0.01,0.01,0.9999999999999999,0.01,0.5,0.01,0.10317460317460314,0.65,0.128,0.45435016111707843,1.0000000000000002,0.01,0.12123385939741738,0.8787661406025826,1.0,0.01,0.7431192660550461,0.5238095238095237,0.01,0.01,0.01,0.01,0.21052631578947367,0.01,0.01,0.01,0.01,0.01,0.6934331405239877,0.24304107909258124,0.21944216570959804,0.1170212765957447,0.1339343206696716,0.08802816901408449,0.11308733740376958,0.3053855569155447,0.20827888546979723,0.26471677156608664,0.10114192495921696,0.018714401952807158,0.13657797238127317,0.23207603207603208,0.4074152096060669,0.43189655172413793,0.061488020176544755,0.029748743718592985,0.8427672955974843,0.2996655518394648,0.924376508447305,1.0,1.0,0.01,1.0,0.9999999999999999,0.1511335012594459,0.19620253164556933,0.7033898305084749,0.01,1.0,0.9125000000000001,0.01,0.07279693486590039,1.0,1.0,1.0,0.01,1.0,0.01,0.01,1.0,0.7333333333333334,0.01,0.01,1.0,0.01,0.9605431309904153,0.01,0.01,0.01,0.9999999999999998,0.21052631578947367,0.4602272659247185
2018,0.01,0.8781362007168458,0.01,0.5225806451612902,0.01,0.01,0.9999999999999999,0.01,0.5,0.13412091730368308,0.10317460317460314,0.65,0.128,0.01,0.01,0.01,0.12123385939741738,0.8787661406025826,1.0,0.01,0.7431192660550461,0.5238095238095237,0.01,0.01,0.01,0.01,0.21052631578947367,0.01,0.01,0.01,0.01,0.01,0.7288193263014631,0.27259350091968115,0.353363412633306,0.01,0.01,0.19496609285341676,0.24183700557472787,0.01,0.20827888546979723,0.26471677156608664,0.10114192495921696,0.018714401952807158,1.0,0.23207603207603208,0.4074152096060669,0.43189655172413793,0.28524590163934427,0.2088107202680067,0.8427672955974843,0.2996655518394648,0.924376508447305,1.0,1.0,0.01,1.0,0.9999999999999999,0.1511335012594459,0.19620253164556933,0.7033898305084749,0.01,1.0,0.9125000000000001,0.01,0.07279693486590039,1.0,1.0,1.0,0.01,1.0,0.01,0.01,1.0,0.7333333333333334,0.01,0.01,1.0,0.01,0.9605431309904153,0.01,0.01,0.01,0.9999999999999998,0.21052631578947367,0.7996653505698379
