year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative",Other operating expenses,Total operating expenses,Operating income,Interest Expense,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Preferred dividend,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2013,0.4185989781674788,0.5889828969824613,0.4244003790916375,0.01,0.01,0.9999999999999991,0.01,0.6618658641444539,1.0,1.0,0.9023068130358589,0.8414111919072156,0.9244802072281852,0.9244802072281852,0.9747442858946836,0.9235492102548749,0.01,0.9244649601342846,0.9235294117647058,0.01,0.9999999999999982,0.9999999999999982,0.969025423019632,0.715822004739775
2014,0.6104432910054349,0.9193507389520317,0.5165852591674565,0.10620585267406657,0.10519168967546211,0.9048239895697519,0.10620585267406657,0.7072073455349464,0.9064844656439344,0.8764971666321517,0.8029487073732835,0.693600570127585,0.8427646958862082,0.8427646958862082,0.8890011365071346,0.8419082992821775,0.01,0.8476710029374739,0.8478991596638654,0.01,0.8970331588132634,0.8679514632405407,0.8631525213811109,1.0
2015,1.0,1.0,1.0,0.4823410696266395,0.5360068800072417,0.008257279443720122,0.4823410696266395,1.0,0.045765115379656995,0.9981173635559237,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.9999999999999999,0.01,0.7958115183246068,0.7337615988579582,1.0,0.8060081500977918
2016,0.38372928214232616,0.01,0.6731245899249103,0.1537840565085764,0.24211288643461693,0.01,0.1537840565085764,0.8246069278958359,0.01,0.9870493439011992,0.9738612814655325,0.9457874256595253,0.9840835710119367,0.9840835710119367,0.9983583785831543,0.9838191714049814,0.01,0.9920268569030635,0.992016806722689,0.01,0.2661431064572426,0.2748037116345454,0.9673032184639072,0.7525972957576332
2017,0.01,0.3129380151784744,0.01,0.9999999999999991,1.0,0.012168622338113444,0.9999999999999991,0.01,0.012891581797086493,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4602272659247185
2018,0.01,0.3129380151784744,0.01,0.9999999999999991,1.0,0.012168622338113444,0.9999999999999991,0.01,0.012891581797086493,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7996653505698379
