year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,0.01,0.14285714285714235,0.23076923076923084,0.4166666666666666,0.2682926829268293,0.23448275862068965,0.01,0.01,1.0,0.01,0.23255813953488358,0.9007633587786259,0.7753623188405797,0.9214814814814815,0.5061103567460807,0.01,0.8517647058823528,0.14823529411764724,0.01,1.0,1.0,0.4197183098591548,0.8730650154798762,0.4699570815450644,0.7429735234215886,0.423728813559322,0.01,0.34719334719334727,0.308641975308642,0.36406844106463876,0.3618233618233618,0.15432873274780426,0.01,1.0,0.9999999999999999,1.0000000000000002,0.011176245000821788,0.22842035690680768,0.24516746411483248,0.18441273326015367,0.15660216056578846,0.21872857282789698,0.2575207091992443,1.0,0.43695132687712235,0.22182299546142215,0.2527703745265815,0.4508036064288514,0.3314402544298047,0.9999999999999999,0.18647764449291165,0.9407894736842105,0.760806916426513,0.4535637149028077,0.01,0.01,0.13716814159292035,0.01,1.0000000000000018,1.0000000000000004,0.01,0.01,0.13025210084033623,0.9614243323442135,0.01,0.6795634920634921,0.008352315869400162,0.07982583454281578,0.6490996925779534,0.0242424242424244,0.3940652818991097,0.6059347181008903,0.01,0.1818181818181812,0.26086956521739135,0.308641975308642,0.4666666666666666,0.01,0.01,0.01,0.01,1.0,1.0,0.01,0.01,0.0
2010,0.042592592592592515,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.06607929515418509,0.01,0.9999999999999999,0.7318840579710144,0.8548148148148147,0.45673373657573135,0.01,1.0,0.01,0.4746268656716417,0.01,0.7948717948717947,0.01,0.7089783281733747,0.0386266094420601,0.01,0.01,0.2857142857142856,0.01,0.1234567901234569,0.01,0.01,0.016938519447929734,0.28985507246376807,0.3912639405204461,0.7864516129032257,0.7992202729044835,0.01,0.01,0.01,0.18441273326015367,0.06563301468873861,0.01,0.01,0.06458421274799492,0.3687586467111055,0.01,0.01,0.01,0.08757383007723762,0.07990684061913889,0.01,0.8571428571428572,1.0,0.3930885529157668,0.14778325123152714,0.3153153153153152,0.01,0.013636363636363669,0.9038031319910527,0.97319034852547,0.16724738675958184,0.01,0.2983193277310925,1.0,0.01,0.7301587301587301,0.01,0.2133526850507983,0.44532279314888,0.01,0.16854599406528203,0.831454005934718,0.01,0.045454545454545414,0.21739130434782616,0.1234567901234569,0.27999999999999997,0.04397705544933078,0.17586206896551726,0.01,0.09827357237715811,0.8672969187675068,0.7738359201773837,0.2200000000000002,0.2857142857142856,0.060431654676258995
2011,0.13703703703703685,0.4047619047619042,0.3076923076923077,0.47222222222222215,0.3414634146341463,0.303448275862069,0.01,0.01,0.666666666666667,0.13656387665198255,0.2906976744186046,0.931297709923664,0.8478260869565217,1.0,0.6789285273423034,0.01,0.5929411764705854,0.4070588235294119,0.6417910447761193,0.01,0.35042735042735007,0.47887323943661964,0.7616099071207432,0.43776824034334766,0.2782077393075356,0.47796610169491527,0.6071428571428577,0.4719334719334719,0.22222222222222188,0.4211026615969582,0.4928774928774929,0.19385194479297366,0.4391304347826086,0.15892193308550187,0.5245161290322581,0.7344054580896686,0.8071002027064045,0.28605419695968276,0.2112918660287081,0.7991218441273326,1.0,0.28621804290332065,0.23804679552390637,0.8045588856057408,1.0,0.2773260211800303,0.24196942067611163,0.7836142689141513,0.7417083144025445,0.20394072425235474,0.08396946564885505,0.9999999999999999,0.7723342939481268,1.0,0.5714285714285713,0.5585585585585586,0.17699115044247782,1.0,0.09172259507830027,0.675603217158177,0.30313588850174217,0.01,0.4201680672268908,0.4658753709198813,0.01,0.8174603174603173,0.13439635535307515,0.37880986937590766,0.4791392182696531,0.09090909090909083,0.2991097922848662,0.7008902077151338,0.01,1.0,1.0000000000000002,0.22222222222222188,0.3333333333333333,0.40152963671128106,0.38620689655172447,0.21212121212121215,0.3253652058432935,0.3082107843137254,0.5343680709534366,0.6200000000000006,0.6071428571428577,0.16589081675835804
2012,0.25185185185185177,0.5952380952380949,0.5576923076923077,0.7777777777777775,0.5121951219512195,0.506896551724138,0.01,0.01,0.666666666666667,0.2995594713656389,0.2674418604651162,0.8091603053435114,0.717391304347826,0.8666666666666667,0.6542402172571287,0.01,0.4117647058823515,0.5882352941176476,0.6507462686567163,0.01,0.04273504273504258,0.7887323943661971,0.8452012383900931,0.7296137339055795,0.9417515274949083,0.6983050847457627,0.8928571428571432,0.7318087318087318,0.14814814814814836,0.6596958174904943,0.7165242165242167,0.3670012547051442,0.48550724637681153,0.47583643122676583,0.32580645161290317,0.49025341130604294,0.4551580562099381,0.6754791804362195,0.28612440191387556,1.0,0.43949638610398695,0.540895288470957,0.31507048394128756,0.9235964542000844,0.6295560306879637,0.5290279878971256,0.33146303829429086,1.0,0.32258064516129037,0.043014076959541625,0.22791712104689194,0.8007518796992481,0.6474543707973103,0.5356371490280776,0.6502463054187192,0.5945945945945947,0.5442477876106194,0.7454545454545456,0.39597315436241587,0.5978552278820373,0.3205574912891986,0.01,0.3697478991596639,0.03560830860534125,0.01,0.8164682539682538,0.19134396355353073,0.258345428156749,0.3790074659639877,0.5181818181818185,0.198219584569733,0.801780415430267,0.01,0.8636363636363633,0.6086956521739133,0.14814814814814836,0.25333333333333335,0.6845124282982792,0.4172413793103451,0.20385674931129483,0.5365205843293492,0.121235994397759,0.5033259423503322,0.94,0.8928571428571432,0.29437156157427
2013,0.32592592592592573,0.833333333333333,0.5576923076923077,0.7499999999999998,0.6097560975609756,0.606896551724138,0.01,0.01,0.666666666666667,0.46079295154185007,0.4999999999999999,0.66412213740458,0.7246376811594203,0.8622222222222222,0.2715714109369213,0.01,0.16705882352940904,0.8329411764705883,1.0,0.01,0.07692307692307665,0.7408450704225352,0.9845201238390094,0.7896995708154506,0.8892057026476579,0.7898305084745763,0.9285714285714288,0.8295218295218296,0.01,0.7005703422053232,0.7905982905982907,0.9196988707653699,0.3550724637681159,0.5176579925650558,0.20580645161290323,0.5823586744639377,0.23859091656166112,1.0,0.33741626794258367,0.7804610318331504,0.3466620035750369,1.0,0.3887516349367824,0.6842549598986916,0.5566092315432021,1.0,0.3936035909664749,0.8663269306154449,0.5687187641980919,0.11306910694779364,0.40348964013086147,0.7904135338345865,0.6340057636887608,0.30669546436285094,0.9999999999999999,0.945945945945946,0.6327433628318585,0.7977272727272728,0.5883668903803123,0.316353887399464,0.30662020905923343,0.01,0.634453781512605,0.03560830860534125,0.01,1.0000000000000002,0.37585421412300685,0.9724238026124823,0.01,0.6303030303030304,0.01,1.0,0.01,0.1818181818181812,0.17391304347826075,0.01,0.01,0.9082217973231358,0.6551724137931036,0.43250688705234164,0.6746347941567064,0.02967436974789911,0.2756836659275681,0.8800000000000003,0.9285714285714288,0.9418535759627593
2014,0.5648148148148147,0.7380952380952381,0.7307692307692308,0.8055555555555554,0.6341463414634146,0.617241379310345,0.01,0.01,0.33333333333333304,0.6035242290748901,0.6162790697674417,0.4427480916030534,0.5869565217391304,0.6192592592592592,0.20985063572398466,0.01,0.2799999999999976,0.7199999999999998,0.8179104477611943,0.01,0.01,0.7999999999999999,0.7925696594427245,0.703862660944206,0.9042769857433809,0.6779661016949152,1.0,0.7297297297297298,0.2716049382716048,0.6397338403041827,0.7307692307692308,0.8212045169385194,0.768599033816425,0.7239776951672863,0.4116129032258064,0.5282651072124757,0.33605434723059224,0.6871116986120291,0.6212440191387559,0.5773874862788144,0.2969612186212792,0.5343324517582526,0.5279755849440488,0.5124525116082735,0.522198465601811,0.5260022692889562,0.5192874175901248,0.7310858486867895,0.43877782825988193,0.01,0.5834242093784079,0.6005639097744361,0.5782901056676273,0.38228941684665224,0.8177339901477833,1.0,0.9999999999999999,0.9954545454545456,0.01,0.731903485254692,0.37979094076655046,0.01,1.0,0.01,0.8636363636363638,0.01,0.9992406985573272,1.0,0.22353974527887577,0.8000000000000003,0.34718100890207726,0.6528189910979232,0.01,0.3181818181818179,0.1304347826086958,0.2716049382716048,0.21333333333333332,0.9808795411089867,0.8103448275862069,0.9889807162534436,0.5179282868525896,0.005777310924369727,0.14560236511456015,1.0000000000000004,1.0,1.0
2015,0.7722222222222224,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.01,0.01,0.33333333333333304,0.9083700440528635,0.813953488372093,0.01,0.28985507246376807,0.40888888888888886,0.01,0.01,0.01,1.0,0.8089552238805973,0.01,0.44444444444444464,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0,0.7500000000000009,1.0,0.5061728395061733,1.0,1.0,1.0,0.6265700483091787,0.8141263940520447,0.5019354838709678,0.4853801169590644,0.38152632443981815,0.6354263053536021,1.0,0.6575192096597147,0.4738089686795679,0.5582329317269077,0.9999999999999999,0.6112283663993247,0.6428876870833857,0.5396180030257187,0.9999999999999999,0.8408467267738142,0.49761472058155387,0.11168820462087017,1.0,0.2800751879699248,0.4803073967339097,0.30669546436285094,0.8522167487684728,0.8468468468468466,0.27876106194690264,0.5272727272727273,0.9910514541387041,0.01,0.5087108013937283,0.01,0.53781512605042,0.01,0.8246753246753248,0.003968253968253968,1.0,0.841799709724238,0.45234958278436543,0.8606060606060608,0.6041543026706231,0.3958456973293769,0.01,0.01,0.1304347826086958,0.5061728395061733,0.4133333333333334,1.0,0.9517241379310346,0.9999999999999998,0.5790172642762283,0.01,0.035476718403547824,0.7200000000000002,0.7500000000000009,0.7421074904782057
2016,0.8425925925925923,0.5714285714285712,0.6730769230769231,0.6111111111111109,0.12195121951219515,0.14137931034482762,0.01,0.01,0.01,0.9013215859030839,0.32558139534883723,0.01526717557251911,0.01,0.01,0.40735711640538197,0.01,0.4376470588235293,0.5623529411764707,0.5194029850746267,0.01,0.9059829059829063,0.5971830985915493,0.01,0.01,0.01,0.020338983050847526,0.2857142857142856,0.018711018711018712,1.0,0.07319391634980987,0.03133903133903132,0.01,0.3057971014492753,0.7815985130111525,0.4651612903225806,0.3737816764132554,0.061907631622199116,0.45194976867151354,0.4953110047846889,0.14050493962678376,0.01,0.09207561955137628,0.18311291963377413,0.01,0.33238586341340703,0.09408093797276856,0.19876560527423198,0.28459427675421406,0.01,0.11168820462087017,0.9356597600872409,0.01,0.01,0.01,0.522167487684729,0.7567567567567566,0.6283185840707964,0.20681818181818157,0.9015659955257274,0.15549597855227892,0.9372822299651566,0.01,0.01,0.01,0.7207792207792209,0.09027777777777779,0.6036446469248291,0.01,1.0,0.8636363636363642,1.0,0.01,0.01,0.5454545454545454,0.01,1.0,1.0,0.9694072657743785,1.0,0.12121212121212133,1.0,0.00954131652661061,0.01,0.26000000000000023,0.2857142857142856,0.6517139229792637
2017,0.9999999999999998,0.42857142857142794,0.576923076923077,0.4166666666666666,0.5609756097560975,0.6379310344827587,0.01,0.01,0.01,0.9303964757709251,0.9999999999999999,0.6259541984732824,1.0,0.9481481481481481,0.3086038760646833,0.01,0.5764705882352956,0.42352941176470615,0.5253731343283579,0.01,0.9145299145299148,0.4225352112676056,0.7275541795665637,0.3712446351931331,0.01,0.45084745762711864,0.4285714285714288,0.42411642411642414,0.6419753086419755,0.5399239543726236,0.5113960113960114,0.12484316185696359,0.4714975845410627,0.5947955390334574,0.4612903225806451,0.297270955165692,0.2365090670026845,0.3799074686054197,0.36172248803827745,0.01,0.8993937980881325,0.34626310118522874,0.35459962214794355,0.36133389615871675,0.9351528109671738,0.3559947049924358,0.3662505260204797,0.6436691493531949,1.0,0.11168820462087017,0.21810250817884397,0.9671052631578947,0.7646493756003843,0.14470842332613387,0.6600985221674877,0.7477477477477477,0.8362831858407082,0.5249999999999999,0.5906040268456376,0.10187667560321678,0.9999999999999998,0.01,1.0,0.01,1.0,0.04067460317460317,0.5998481397114654,0.32801161103047916,0.6763285024154589,1.0,0.7234421364985164,0.2765578635014836,0.01,0.5,0.1304347826086958,0.6419753086419755,0.6133333333333333,0.852772466539197,0.851724137931035,0.5592286501377413,0.6507304116865869,0.049632352941176405,0.1108647450110869,0.3999999999999999,0.4285714285714288,0.6517139229792637
2018,0.9999999999999998,0.42857142857142794,0.576923076923077,0.4166666666666666,0.5609756097560975,0.6379310344827587,0.01,0.01,0.01,1.0000000000000002,0.9999999999999999,0.6259541984732824,1.0,0.52,0.9999999999999999,0.01,0.5764705882352956,0.42352941176470615,0.5253731343283579,0.01,0.9145299145299148,0.4225352112676056,0.7275541795665637,0.3712446351931331,0.01,0.45084745762711864,0.4285714285714288,0.42411642411642414,0.6419753086419755,0.5399239543726236,0.5113960113960114,0.12484316185696359,0.9999999999999999,0.01,0.01,0.01,1.0,0.44560475875743555,0.3557894736842105,0.18441273326015367,0.29311416802673507,0.37251444803604666,0.3378869350385118,0.37062051498522586,0.01,0.3477685325264751,0.31505119932669373,0.5495883967071736,0.33836892321671974,0.11168820462087017,0.21810250817884397,0.9671052631578947,0.7646493756003843,0.14470842332613387,0.6600985221674877,0.7477477477477477,0.8362831858407082,0.5249999999999999,0.5906040268456376,0.10187667560321678,0.9999999999999998,0.01,1.0,0.01,1.0,0.04067460317460317,0.5998481397114654,0.32801161103047916,0.6763285024154589,1.0,0.7234421364985164,0.2765578635014836,0.01,0.5,0.1304347826086958,0.6419753086419755,0.6133333333333333,0.852772466539197,0.851724137931035,0.5592286501377413,0.6507304116865869,0.049632352941176405,0.1108647450110869,0.3999999999999999,0.4285714285714288,0.7592044011849344
