year,Assets,Current assets,Cash,Cash and cash equivalents,Total cash,Receivables,Inventories,Deferred income taxes,Prepaid expenses,Other current assets,Total current assets,Non-current assets,"Property, plant and equipment","Gross property, plant and equipment",Accumulated Depreciation,"Net property, plant and equipment",Equity and other investments,Intangible assets,Other long-term assets,Total non-current assets,Total assets,Liabilities and stockholders' equity,Liabilities,Current liabilities,Accounts payable,Taxes payable,Accrued liabilities,Other current liabilities,Total current liabilities,Non-current liabilities,Long-term debt,Deferred taxes liabilities,Pensions and other benefits,Other long-term liabilities,Total non-current liabilities,Total liabilities,Stockholders' equity,Common stock,Additional paid-in capital,Retained earnings,Treasury stock,Accumulated other comprehensive income,Total stockholders' equity,Total liabilities and stockholders' equity,adj_close
2013,1124114000.0,225903000.0,61751000.0,61751000.0,61751000.0,10081000.0,35478000.0,16008000.0,42595000.0,59990000.0,225903000.0,898211000.0,795379000.0,1449827000.0,-654448000.0,795379000.0,0.01,18647000.0,84185000.0,898211000.0,1124114000.0,1124114000.0,546761000.0,264247000.0,35418000.0,13727000.0,199712000.0,15390000.0,264247000.0,282514000.0,0.01,97237000.0,0.01,185277000.0,282514000.0,546761000.0,577353000.0,906000.0,602469000.0,989451000.0,-1015473000.0,0.01,577353000.0,1124114000.0,45.2031328441995
2014,1176452000.0,239462000.0,58018000.0,58018000.0,58018000.0,15170000.0,33255000.0,15076000.0,38233000.0,79710000.0,239462000.0,936990000.0,828305000.0,1535214000.0,-706909000.0,828305000.0,0.01,20781000.0,87904000.0,936990000.0,1176452000.0,1176452000.0,619942000.0,322011000.0,57325000.0,14799000.0,232446000.0,17441000.0,322011000.0,297931000.0,0.01,96509000.0,0.01,201422000.0,297931000.0,619942000.0,556510000.0,918000.0,654033000.0,1060211000.0,-1158652000.0,0.01,556510000.0,1176452000.0,47.7536662549463
2015,1233346000.0,225396000.0,43854000.0,43854000.0,43854000.0,14159000.0,34010000.0,0.01,41976000.0,91397000.0,225396000.0,1007950000.0,892191000.0,1676782000.0,-784591000.0,892191000.0,0.01,21972000.0,93787000.0,1007950000.0,1233346000.0,1233346000.0,644807000.0,350226000.0,47770000.0,14633000.0,267843000.0,19980000.0,350226000.0,294581000.0,0.01,82524000.0,0.01,212057000.0,294581000.0,644807000.0,588539000.0,931000.0,710242000.0,1140788000.0,-1263422000.0,0.01,588539000.0,1233346000.0,44.3946346872599
2016,1293319000.0,221427000.0,53839000.0,53839000.0,53839000.0,15632000.0,34926000.0,0.01,52438000.0,64592000.0,221427000.0,1071892000.0,910134000.0,1768890000.0,-858756000.0,910134000.0,0.01,23054000.0,138704000.0,1071892000.0,1293319000.0,1293319000.0,690112000.0,376526000.0,41564000.0,22496000.0,291859000.0,20607000.0,376526000.0,313586000.0,0.01,82401000.0,0.01,231185000.0,313586000.0,690112000.0,603207000.0,947000.0,774137000.0,1238012000.0,-1409889000.0,0.01,603207000.0,1293319000.0,58.6453854259396
2017,1333060000.0,208633000.0,6008000.0,6008000.0,6008000.0,19865000.0,42560000.0,0.01,57666000.0,82534000.0,208633000.0,1124427000.0,935045000.0,1872870000.0,-937825000.0,935045000.0,59521000.0,24065000.0,105796000.0,1124427000.0,1333060000.0,1333060000.0,719530000.0,397951000.0,50984000.0,16359000.0,111761000.0,218847000.0,397951000.0,321579000.0,10000000.0,57216000.0,61096000.0,193267000.0,321579000.0,719530000.0,613530000.0,954000.0,799862000.0,1345666000.0,-1532864000.0,-88000.0,613530000.0,1333060000.0,48.18
