year,Assets,Current assets,Cash,Cash and cash equivalents,Total cash,Receivables,Inventories,Deferred income taxes,Prepaid expenses,Other current assets,Total current assets,Non-current assets,"Property, plant and equipment","Gross property, plant and equipment",Accumulated Depreciation,"Net property, plant and equipment",Goodwill,Intangible assets,Deferred income taxes,Other long-term assets,Total non-current assets,Total assets,Liabilities and stockholders' equity,Liabilities,Current liabilities,Short-term debt,Accounts payable,Deferred income taxes,Taxes payable,Accrued liabilities,Other current liabilities,Total current liabilities,Non-current liabilities,Long-term debt,Accrued liabilities,Other long-term liabilities,Total non-current liabilities,Total liabilities,Stockholders' equity,Common stock,Additional paid-in capital,Retained earnings,Treasury stock,Accumulated other comprehensive income,Total stockholders' equity,Total liabilities and stockholders' equity,adj_close
2013,1452603000.0,198591000.0,59367000.0,59367000.0,59367000.0,37842000.0,24628000.0,0.01,71824000.0,4930000.0,198591000.0,1254012000.0,1035815000.0,2183710000.0,-1147895000.0,1035815000.0,142103000.0,0.01,24064000.0,52030000.0,1254012000.0,1452603000.0,1452603000.0,1303246000.0,390211000.0,27596000.0,93326000.0,845000.0,32732000.0,222201000.0,13511000.0,390211000.0,913035000.0,780121000.0,38602000.0,94312000.0,913035000.0,1303246000.0,149357000.0,17625000.0,477420000.0,2217623000.0,-2563311000.0,0.01,149357000.0,1452603000.0,41.1493630210805
2014,1490604000.0,210854000.0,57685000.0,57685000.0,57685000.0,47850000.0,23643000.0,16170000.0,65506000.0,0.01,210854000.0,1279750000.0,1056454000.0,2259266000.0,-1202812000.0,1056454000.0,133434000.0,18841000.0,30090000.0,40931000.0,1279750000.0,1490604000.0,1490604000.0,1427510000.0,466110000.0,27884000.0,102931000.0,0.01,41109000.0,239061000.0,55125000.0,466110000.0,961400000.0,832302000.0,36352000.0,92746000.0,961400000.0,1427510000.0,63094000.0,17625000.0,484320000.0,2306532000.0,-2744443000.0,-940000.0,63094000.0,1490604000.0,53.1591437404863
2015,1435873000.0,189717000.0,55121000.0,55121000.0,55121000.0,46588000.0,23035000.0,2493000.0,62480000.0,0.01,189717000.0,1246156000.0,1032044000.0,2327805000.0,-1295761000.0,1032044000.0,132381000.0,16642000.0,30644000.0,34445000.0,1246156000.0,1435873000.0,1435873000.0,1514333000.0,418475000.0,3439000.0,92947000.0,0.01,47783000.0,257345000.0,16961000.0,418475000.0,1095858000.0,970825000.0,30988000.0,94045000.0,1095858000.0,1514333000.0,-78460000.0,17625000.0,490111000.0,2431683000.0,-3009249000.0,-8630000.0,-78460000.0,1435873000.0,44.4381925139119
2016,1472716000.0,176774000.0,31446000.0,31446000.0,31446000.0,43944000.0,70559000.0,0.01,30825000.0,0.01,176774000.0,1295942000.0,1043152000.0,2461987000.0,-1418835000.0,1043152000.0,164007000.0,30225000.0,27003000.0,31555000.0,1295942000.0,1472716000.0,1472716000.0,1685815000.0,432443000.0,3563000.0,95414000.0,0.01,60856000.0,254850000.0,17760000.0,432443000.0,1253372000.0,1113949000.0,38433000.0,100990000.0,1253372000.0,1685815000.0,-213099000.0,17625000.0,495110000.0,2558193000.0,-3272433000.0,-11594000.0,-213099000.0,1472716000.0,47.1218024871914
2017,1413700000.0,154392000.0,9064000.0,9064000.0,9064000.0,44658000.0,71377000.0,0.01,29293000.0,0.01,154392000.0,1259308000.0,1000614000.0,2539320000.0,-1538706000.0,1000614000.0,163953000.0,27512000.0,37029000.0,30200000.0,1259308000.0,1413700000.0,1413700000.0,1907381000.0,446428000.0,9649000.0,104231000.0,0.01,53330000.0,262569000.0,16649000.0,446428000.0,1460953000.0,1319829000.0,42532000.0,98592000.0,1460953000.0,1907381000.0,-493681000.0,17625000.0,502074000.0,2627073000.0,-3628532000.0,-11921000.0,-493681000.0,1413700000.0,38.4354166666667
