status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares
56409284212_10155707634699213,"b""Spoon the one you love for Valentine's Day.""","b""Valentine's Day""",video,https://www.facebook.com/BJsRestaurants/videos/10155707634699213/,2018-02-14 17:41:35,43,10,3
56409284212_10155704277939213,"b""No better way to celebrate Galentine's Day than with $3 Pizookies and wine! <3""","b""Galentine's Day""",video,https://www.facebook.com/BJsRestaurants/videos/10155704277939213/,2018-02-13 12:59:04,134,48,4
56409284212_10155701361009213,b'Better than a box of chocolates. Get a FREE Pizookie\xc2\xae coupon when you dine with us now through February 14.  Coupon valid 2/15-3/31.',,photo,https://www.facebook.com/BJsRestaurants/photos/a.72665834212.76706.56409284212/10155701359399213/?type=3,2018-02-12 12:35:16,341,76,42
56409284212_10155693100254213,b'Dine and Dash with a $5 Medium Pizza To Go!  Dine in with any Large Pizza and Get a Medium Deep-Dish or Tavern-Cut Pizza To Go for only $5. Get Offer: http://bit.ly/2sjgLgW',b'Timeline Photos',photo,https://www.facebook.com/BJsRestaurants/photos/a.72665834212.76706.56409284212/10155693100254213/?type=3,2018-02-09 11:57:36,139,26,33
56409284212_10155679839664213,"b'TOUCHDOWN! Our Game Day Feast is the perfect package for the Big Game. Get 20% OFF Delivery or Take Out now thru Sunday, 2/4.  Enter promo code BIGGAME at checkout. \nOrder Now http://bit.ly/2kkbG3D'",,photo,https://www.facebook.com/BJsRestaurants/photos/a.72665834212.76706.56409284212/10155679837419213/?type=3,2018-02-04 11:18:19,64,4,2
56409284212_10155675113349213,"b'Get 20% OFF Take Out & Delivery now thru Sunday, 2/4.  Catering packages perfect for the Big Game!  Enter promo code BIGGAME at checkout. \nOrder now http://bit.ly/2kkbG3D'",b'20% OFF Take Out & Delivery',video,https://www.facebook.com/BJsRestaurants/videos/10155675113349213/,2018-02-02 16:13:38,77,9,9
56409284212_10155660633059213,b'Our nominee for Best Group Performance. #thegrammys',b'Timeline Photos',photo,https://www.facebook.com/BJsRestaurants/photos/a.72665834212.76706.56409284212/10155660633059213/?type=3,2018-01-28 15:30:35,147,15,6
56409284212_10155654635514213,"b""Cooking up a new Pizookie\xc2\xae with Peanut Butter and Chocolate in the BJ's Test Kitchen! What would you name it?""",,photo,https://www.facebook.com/BJsRestaurants/photos/a.72665834212.76706.56409284212/10155654630324213/?type=3,2018-01-26 13:39:24,1723,766,149
56409284212_10155651927854213,b'Our EnLIGHTened menu offers better-for-you options. Meal time: Solved. Fashion problems: Maybe?',b'Hungry Heroes:  Salmon Peruvian Quinoa Bowl',video,https://www.facebook.com/BJsRestaurants/videos/10155651927854213/,2018-01-25 15:19:08,29,0,3
56409284212_10155636865774213,b'A day that deserves to be celebrated. #NationalCheeseLoversDay',,photo,https://www.facebook.com/BJsRestaurants/photos/a.72665834212.76706.56409284212/10155636865289213/?type=3,2018-01-20 19:41:21,134,9,7
