,Direct,Referrals,Search,Social,Mail,Display
BJRI,0.1399501115924905,0.12997776430159694,0.14302234246814455,0.11384615384615385,0.20190713101160862,0.12087912087912091
APPB,0.15957726138899828,0.13907418637558117,0.14145138767673243,0.09692307692307692,0.09577114427860696,0.1501831501831502
CAKE,0.07896809767625049,0.1564584596725288,0.17119043463082564,0.08307692307692308,0.020315091210613596,0.07326007326007328
CHIL,0.18957594853616908,0.15383060440671115,0.12015622272647933,0.04,0.27197346600331673,0.4981684981684983
CPKI,0.14763030064329788,0.1400848999393572,0.14598970151858964,0.05615384615384615,0.11359867330016585,0.07692307692307693
RRGB,0.17113036628593933,0.10875277946230039,0.1257200209460639,0.48615384615384616,0.18490878938640132,0.05494505494505495
TGIF,0.11316791387685439,0.1718213058419244,0.1524698900331646,0.12384615384615386,0.11152570480928689,0.025641025641025647
